id,eng_name,malay_name,family
187,Pellacalyx axillaris Korth.,"Danguh (Bidayuh, Sarawak)",
188,Horsfieldia brachiata (King) Warb.,Darah-darah (Malay),
189,Horsfieldia crassifolia (Hook.f. & Thomson) Warb.,Darah-darah (Malay),
190,Horsfieldia grandis (Hook.f.) Warb.,Darah-darah (Malay),
191,Horsfieldia motleyi Warb.,Darah-darah (Malay),
192,Horsfieldia polyspherula (Hook.f. emend. King) J.Sinclair,Darah-darah (Malay),
193,Horsfieldia punctatifolia J.Sinclair,Darah-darah (Malay),
194,Horsfieldia rufo-lanata Airy Shaw,Darah-darah (Malay),
195,Horsfieldia wallichii (Hook.f. & Thomson) Warb.,Darah-darah (Malay),
196,Knema ashtonii var. ashtonii J.Sinclair,Darah-darah (Malay),
197,Knema conferta (King) Warb.,Darah-darah (Malay),
198,Knema curtisii var. curtisii (King) Warb.,Darah-darah (Malay),
199,Knema elmeri Merr.,Darah-darah (Malay),
200,Knema kinabaluensis J.Sinclair,Darah-darah (Malay),
201,Knema korthalsii Warb.,Darah-darah (Malay),
202,Knema kunstleri (King) Warb.,Darah-darah (Malay),
203,Knema latericia Elmer,Darah-darah (Malay),
204,Knema latifolia Warb.,Darah-darah (Malay),
205,Knema membranifolia Winkler,Darah-darah (Malay),
206,Knema pectinata subsp. pectina Warb.,Darah-darah (Malay),
207,Knema woodii J.Sinclair,Darah-darah (Malay),
208,Myristica cinnamomea King,Darah-darah (Malay),
209,Myristica iners Blume,Darah-darah (Malay),
210,Myristica lowiana King,Darah-darah (Malay),
211,Myristica malaccensis subsp. malaccensis Hook.f.,Darah-darah (Malay),
212,Myristica maxima Warb.,Darah-darah (Malay),
213,Myristica papyracea J.Sinclair,Darah-darah (Malay),
214,Myristica villosa Warb.,Darah-darah (Malay),
215,Horsfieldia fragillima Airy Shaw,"Darah-darah (Malay), Kumpang agum/samak (Iban)",
216,Knema laurina (Blume) Warb.,Darah-darah kerantu (Malay),
217,Knema percoriacea J.Sinclair,"Daun lapupung (Kelabit), Kumpang darah/samak (Iban)",
218,Vitex vestita Wall.,Daun pelaiah (Kelabit),
219,Erythrina variegata L.,Dedap (Malay),
220,Symplocos celastrifolia Griff. ex C.B.Clarke,Dempul / tukil-tukil (Dusun),
